BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8501493;8588193;0.6023;
8503211;8503220;2.3002;2.3997
8506284;8506283;3.2388;
8506125;8588122;1.6531;1.6557
8504226;8504228;5.779;5.9274
8501057;8501062;1.7788;
8507472;8507473;6.2693;
8508210;8508211;7.1682;7.8764
8500118;8500119;2.7977;2.8504
8503425;8503426;1.5642;1.5976
8500027;8500028;3.7532;4.1066
8508314;8508323;0.6323;
8500285;8500283;2.0297;
8508292;8508293;1.8029;
8503230;8503228;2.8865;2.9665
8502208;8502209;2.2009;2.295
8506124;8506123;2.3997;2.4
8501484;8501485;0.5337;
8504129;8504140;2.0884;2.1015
8503121;8503139;0.8836;
8500033;8500032;1.5184;1.6107
8504072;8504073;1.2443;
8501284;8501283;0.2409;
8501460;8530378;0.455;
8508263;8508262;2.0147;
8506128;8506119;1.2745;1.3213
8506018;8506017;1.4728;1.5911
8508202;8508203;3.8073;3.8213
8504300;8504301;4.213;
8501393;8501392;1.0457;
8501155;8501154;1.1397;
8504465;8504466;1.8907;
8506183;8506168;1.4875;1.5105
8504306;8504307;3.2924;3.3517
8501426;8501425;3.2527;3.3852
8503211;8503209;3.5383;3.74
8507273;8507290;3.0066;
8508207;8508208;5.1046;5.6673
8501378;8501387;1.7317;
8530261;8501285;0.595;
8508395;8508359;0.4307;
8507270;8507271;1.7695;
8500116;8500115;1.6042;2.0607
8507274;8507275;2.7104;
8501566;8501568;1.0041;
8502104;8502119;3.3904;
8500289;8500288;1.3846;
8502230;8516187;1.721;1.721
8519370;8509373;0.9345;
8508305;8508306;4.0783;
8507000;8508051;2.2209;
8501172;8501173;3.0712;
8508060;8508059;3.6259;
8501280;8501264;0.3605;
8509075;8509073;3.2147;
8505202;8505204;8.3265;12.9934
8505399;8530790;0.4143;
8504040;8501200;1.6556;
8501668;8501669;1.6028;
8508266;8508267;2.29;
8503402;8503403;1.0275;1.3544
8509259;8509258;2.0517;
8500329;8503411;1.4087;1.4542
8502201;8515997;2.4316;2.445
8508070;8508054;2.0362;
8502227;8518459;0.753;0.7531
8503400;8503401;2.8849;3.1409
8501400;8501461;3.1765;
8504003;8504011;2.2871;2.5343
8502033;8502032;3.2137;3.335
8504304;8500100;3.7073;
8508157;8508158;0.9114;
8501376;8501385;1.2292;
8504023;8504024;4.7959;4.8443
