BPUIC1;BPUIC2;NUM_CONNECTIONS;AVG_DURATION
8501665;8501664;15;2.0
8501664;8501663;15;4.0
8501663;8501662;15;2.0
8501662;8501661;15;6.0
8501605;8501636;37;2.41
8501636;8501609;37;9.0
8501672;8501729;32;2.0
8501729;8501673;32;3.5
8501673;8501674;32;7.78
8501674;8501675;32;4.03
8501675;8501676;32;6.0
8501676;8501677;32;4.5
8501677;8501609;32;5.0
8501609;8501636;35;7.06
8501636;8501605;35;4.4
8505165;8505164;24;4.33
8505164;8505163;24;7.96
8505163;8501661;15;19.27
8501661;8501662;15;3.0
8501662;8501663;15;2.87
8501663;8501664;15;3.0
8501664;8501665;15;2.87
8501665;8501666;15;4.0
8501666;8501667;15;1.87
8501667;8501668;15;3.0
8501668;8501669;15;3.0
8501669;8501670;15;2.87
8501670;8501671;15;5.0
8501671;8501672;15;7.87
8505165;8505119;34;15.47
8505119;8505165;34;10.76
8505174;8505173;13;7.0
8505173;8505172;13;7.0
8505172;8505170;13;11.0
8505170;8505165;15;17.33
8505165;8505170;13;9.0
8505170;8505172;13;10.0
8505172;8505173;13;11.0
8505173;8505174;13;9.0
8501689;8501609;2;74.0
8501609;8505165;2;92.0
8505165;8509179;2;62.0
8509179;8505170;2;43.0
8505165;8501609;2;106.0
8501609;8501689;2;77.0
8505400;8505473;7;8.0
8505473;8505494;5;9.0
8505494;8505497;1;13.0
8505497;8505499;11;4.64
8505499;8505589;1;12.0
8505589;8505580;1;3.0
8505580;8505584;7;5.0
8505584;8505578;1;1.0
8505578;8505594;1;2.0
8505594;8505581;1;3.0
8505581;8505585;7;4.0
8505585;8505590;1;2.0
8505590;8505599;1;14.0
8505599;8505597;1;4.0
8505597;8505588;1;5.0
8505588;8505593;1;5.0
8505473;8505491;17;2.06
8505491;8505492;17;2.06
8505492;8505493;17;1.94
8505493;8505494;17;4.94
8505494;8505495;13;5.0
8505495;8505496;13;5.0
8505496;8505497;10;2.9
8505499;8505580;6;15.0
8505584;8505581;6;6.0
8505585;8505597;6;21.0
8505593;8505588;1;5.0
8505588;8505597;2;5.0
8505597;8505599;2;4.0
8505599;8505590;2;14.0
8505590;8505585;2;3.0
8505585;8505581;7;4.0
8505581;8505594;2;3.0
8505594;8505578;2;1.0
8505578;8505584;2;1.0
8505584;8505580;7;5.0
8505580;8505589;2;3.0
8505589;8505499;2;13.0
8505499;8505497;13;3.0
8505497;8505496;13;4.85
8505496;8505495;15;5.8
8505495;8505494;15;5.0
8505494;8505473;7;10.14
8505473;8505400;7;11.0
8505400;8505472;16;3.19
8505472;8505467;16;2.0
8505467;8505473;16;4.0
8505494;8505493;17;5.06
8505493;8505492;17;2.06
8505492;8505491;17;2.06
8505491;8505473;17;3.06
8505473;8505467;15;3.8
8505467;8505472;15;1.07
8505472;8505400;17;6.94
8505473;8505472;2;5.0
8505473;8505492;1;4.0
8505492;8505494;1;5.0
8505494;8505499;4;16.0
8505597;8505593;5;10.0
8505593;8505597;5;10.0
8505597;8505585;5;21.0
8505581;8505584;5;5.0
8505580;8505499;5;16.0
8505499;8505496;1;7.0
8505496;8505494;2;10.0
8505499;8505494;3;17.0
8505494;8505496;1;10.0
8505496;8505499;1;6.0
8501173;8501174;40;1.0
8501174;8501178;40;1.0
8501178;8501175;40;3.0
8501175;8501176;40;3.0
8501176;8501177;40;4.0
8501173;8501172;69;3.0
8501172;8501171;69;1.0
8501171;8587727;69;1.0
8587727;8501169;69;2.0
8501169;8501170;69;1.0
8501170;8501168;69;1.0
8501168;8501166;69;2.0
8501166;8501165;69;2.0
8501165;8501164;69;1.0
8501164;8501163;68;1.0
8501163;8501162;68;2.0
8501162;8501160;68;3.0
8501160;8501181;68;2.0
8501177;8501176;40;2.0
8501176;8501175;40;2.0
8501175;8501178;40;2.0
8501178;8501174;40;1.0
8501174;8501173;40;2.0
8501181;8501160;68;1.0
8501160;8501162;68;2.0
8501162;8501163;68;0.99
8501163;8501164;68;1.0
8501164;8501165;69;1.99
8501165;8501166;69;3.0
8501166;8501168;69;1.0
8501168;8501170;69;2.0
8501170;8501169;69;1.0
8501169;8587727;69;1.0
