BPUIC1;BPUIC2;NUM_CONNECTIONS;AVG_DURATION
8506362;8506470;54;27.67
8506362;8506375;54;31.67
8506362;8506376;40;34.7
8506362;8506377;40;37.7
8506362;8506276;40;39.85
8506362;8506382;40;41.85
8506362;8506378;40;43.85
8506362;8506381;40;48.0
8506362;8506380;40;51.0
8506362;8506286;40;54.67
8506361;8518100;55;2.0
8506361;8506359;55;4.0
8506361;8506358;55;6.0
8506361;8506270;55;7.0
8506361;8506302;55;13.0
8506361;8519306;54;16.67
8506361;8506371;54;18.67
8506361;8506372;54;20.67
8506361;8506373;54;23.67
8506361;8506374;54;24.67
8506361;8506470;54;25.67
8506361;8506375;54;29.67
8506361;8506376;40;32.7
8506361;8506377;40;35.7
8506361;8506276;40;37.85
8506361;8506382;40;39.85
8506361;8506378;40;41.85
8506361;8506381;40;46.0
8506361;8506380;40;49.0
8506361;8506286;40;52.67
8518100;8506359;55;2.0
8518100;8506358;55;4.0
8518100;8506270;55;5.0
8518100;8506302;55;11.0
8518100;8519306;54;14.67
8518100;8506371;54;16.67
8518100;8506372;54;18.67
8518100;8506373;54;21.67
8518100;8506374;54;22.67
8518100;8506470;54;23.67
8518100;8506375;54;27.67
8518100;8506376;40;30.7
8518100;8506377;40;33.7
8518100;8506276;40;35.85
8518100;8506382;40;37.85
8518100;8506378;40;39.85
8518100;8506381;40;44.0
8518100;8506380;40;47.0
8518100;8506286;40;50.67
8506359;8506358;55;2.0
8506359;8506270;55;3.0
8506359;8506302;55;9.0
8506359;8519306;54;12.67
8506359;8506371;54;14.67
8506359;8506372;54;16.67
8506359;8506373;54;19.67
8506359;8506374;54;20.67
8506359;8506470;54;21.67
8506359;8506375;54;25.67
8506359;8506376;40;28.7
8506359;8506377;40;31.7
8506359;8506276;40;33.85
8506359;8506382;40;35.85
8506359;8506378;40;37.85
8506359;8506381;40;42.0
8506359;8506380;40;45.0
8506359;8506286;40;48.67
8506358;8506270;55;1.0
8506358;8506302;55;7.0
8506358;8519306;54;10.67
8506358;8506371;54;12.67
8506358;8506372;54;14.67
8506358;8506373;54;17.67
8506358;8506374;54;18.67
8506358;8506470;54;19.67
8506358;8506375;54;23.67
8506358;8506376;40;26.7
8506358;8506377;40;29.7
8506358;8506276;40;31.85
8506358;8506382;40;33.85
8506358;8506378;40;35.85
8506358;8506381;40;40.0
8506358;8506380;40;43.0
8506358;8506286;40;46.67
8506270;8506302;55;6.0
8506270;8519306;54;9.67
8506270;8506371;54;11.67
8506270;8506372;54;13.67
8506270;8506373;54;16.67
8506270;8506374;54;17.67
8506270;8506470;54;18.67
8506270;8506375;54;22.67
8506270;8506376;40;25.7
8506270;8506377;40;28.7
8506270;8506276;40;30.85
8506270;8506382;40;32.85
8506270;8506378;40;34.85
8506270;8506381;40;39.0
8506270;8506380;40;42.0
8506270;8506286;40;45.67
8506302;8519306;54;1.0
8506302;8506371;54;3.0
8506302;8506372;54;5.0
8506302;8506373;56;7.96
8506302;8506374;54;9.0
8506302;8506470;54;10.0
8506302;8506375;56;13.89
8506302;8506376;40;17.0
8506302;8506377;42;19.81
8506302;8506276;40;22.15
8506302;8506382;40;24.15
8506302;8506378;42;25.95
8506302;8506381;42;30.05
8506302;8506380;42;33.05
8506302;8506286;42;36.74
8519306;8506371;54;2.0
8519306;8506372;54;4.0
8519306;8506373;54;7.0
8519306;8506374;54;8.0
8519306;8506470;54;9.0
8519306;8506375;54;13.0
8519306;8506376;40;16.0
8519306;8506377;40;19.0
8519306;8506276;40;21.15
8519306;8506382;40;23.15
8519306;8506378;40;25.15
8519306;8506381;40;29.3
8519306;8506380;40;32.3
8519306;8506286;40;35.98
8506371;8506372;54;2.0
8506371;8506373;54;5.0
8506371;8506374;54;6.0
8506371;8506470;54;7.0
8506371;8506375;54;11.0
8506371;8506376;40;14.0
8506371;8506377;40;17.0
8506371;8506276;40;19.15
8506371;8506382;40;21.15
8506371;8506378;40;23.15
8506371;8506381;40;27.3
8506371;8506380;40;30.3
8506371;8506286;40;33.98
8506372;8506373;54;3.0
8506372;8506374;54;4.0
8506372;8506470;54;5.0
8506372;8506375;54;9.0
8506372;8506376;40;12.0
8506372;8506377;40;15.0
8506372;8506276;40;17.15
8506372;8506382;40;19.15
8506372;8506378;40;21.15
